Type,Classifier 1,Classifier 2,Classifier 3 ,Classifier 4
0,1.64E-06,1.30E-02,6.45E-04,1.12E-04
0,1.71E-06,1.18E-02,1.60E-03,4.20E-04
0,1.46E-06,1.14E-02,1.88E-03,4.96E-04
0,1.42E-06,1.10E-02,2.25E-03,5.09E-04
1,1.21E-06,1.11E-02,2.27E-03,4.02E-04
1,1.71E-06,1.05E-02,2.43E-03,8.31E-04
1,1.80E-06,1.28E-02,8.35E-04,1.76E-04
1,1.60E-06,1.22E-02,1.32E-03,3.03E-04
1,1.77E-06,1.17E-02,1.70E-03,4.06E-04
2,1.19E-06,1.19E-02,1.46E-03,3.84E-04
2,1.32E-06,1.23E-02,1.28E-03,2.60E-04
2,1.52E-06,1.10E-02,2.23E-03,5.90E-04
,,,,
,,,,
,,,,